task_id,repo_id,split,adapter_id,terminal_status,scoreable_flag,pass_flag,result_prefix,batch_id,task_family,task_time_bucket,source_context_class,source_context_quality,statement_provenance,release_eligibility_provenance,public_context_ref_count,implementation_file_count,test_file_count,audit_status,ambiguity_flag_count,caution_flag_count,material_leakage_flag_count
boltons__v2__140,boltons,H_future,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_4_boltons_remainder_codex_workspace,4,boltons:cacheutils,legacy_2018_or_earlier,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
boltons__v2__147,boltons,B_eval,kilo_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_4_boltons_remainder_kilo_workspace,4,boltons:setutils,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
boltons__v2__093,boltons,B_eval,kilo_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_4_boltons_remainder_kilo_workspace,4,boltons:ioutils,legacy_2018_or_earlier,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
boltons__v2__007,boltons,B_eval,kilo_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_4_boltons_remainder_kilo_workspace,4,boltons:tbutils,legacy_2018_or_earlier,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
boltons__v2__155,boltons,B_eval,kilo_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_4_boltons_remainder_kilo_workspace,4,boltons:dictutils,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
boltons__v2__141,boltons,H_future,kilo_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_4_boltons_remainder_kilo_workspace,4,boltons:urlutils,legacy_2018_or_earlier,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
boltons__v2__163,boltons,H_future,kilo_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_4_boltons_remainder_kilo_workspace,4,boltons:funcutils,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
boltons__v2__170,boltons,H_future,kilo_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_4_boltons_remainder_kilo_workspace,4,boltons:setutils,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
boltons__v2__144,boltons,H_future,kilo_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_4_boltons_remainder_kilo_workspace,4,boltons:setutils,legacy_2018_or_earlier,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
boltons__v2__091,boltons,H_future,kilo_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_4_boltons_remainder_kilo_workspace,4,boltons:ioutils,legacy_2018_or_earlier,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
boltons__v2__086,boltons,H_future,kilo_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_4_boltons_remainder_kilo_workspace,4,boltons:iterutils,legacy_2018_or_earlier,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,2,1,1,accepted_for_paid_package,0,0,0
boltons__v2__006,boltons,H_future,kilo_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_4_boltons_remainder_kilo_workspace,4,boltons:tbutils,legacy_2018_or_earlier,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,2,accepted_for_paid_package,0,0,0
boltons__v2__087,boltons,H_future,kilo_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_4_boltons_remainder_kilo_workspace,4,boltons:funcutils,legacy_2018_or_earlier,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,2,1,1,accepted_for_paid_package,0,0,0
boltons__v2__164,boltons,H_future,kilo_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_4_boltons_remainder_kilo_workspace,4,boltons:queueutils,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
boltons__v2__140,boltons,H_future,kilo_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_4_boltons_remainder_kilo_workspace,4,boltons:cacheutils,legacy_2018_or_earlier,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
click__third__278,click,B_eval,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_5_click_remainder_codex_workspace,5,click:types,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,1,0
click__third__201,click,B_eval,codex_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_5_click_remainder_codex_workspace,5,click:core,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,1,0
click__third__274,click,B_eval,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_5_click_remainder_codex_workspace,5,click:shell_completion,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,1,0
click__third__200,click,B_eval,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_5_click_remainder_codex_workspace,5,click:testing,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,2,accepted_for_paid_package,0,1,0
click__third__208,click,H_future,codex_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_5_click_remainder_codex_workspace,5,click:core,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,2,2,1,accepted_for_paid_package,0,1,0
click__third__213,click,H_future,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_5_click_remainder_codex_workspace,5,click:core,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,3,accepted_for_paid_package,0,1,0
click__third__216,click,H_future,codex_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_5_click_remainder_codex_workspace,5,click:testing,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,1,0
click__third__250,click,H_future,codex_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_5_click_remainder_codex_workspace,5,click:core,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,1,0
click__third__206,click,H_future,codex_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_5_click_remainder_codex_workspace,5,click:types,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,1,0
click__third__199,click,H_future,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_5_click_remainder_codex_workspace,5,click:core,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,2,1,accepted_for_paid_package,0,1,0
click__third__166,click,H_future,codex_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_5_click_remainder_codex_workspace,5,click:shell_completion,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,1,0
click__third__050,click,H_future,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_5_click_remainder_codex_workspace,5,click:types,middle_2019_2022,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,1,0
click__third__205,click,H_future,codex_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_5_click_remainder_codex_workspace,5,click:core,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,1,0
click__third__238,click,H_future,codex_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_5_click_remainder_codex_workspace,5,click:shell_completion,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,1,0
click__third__278,click,B_eval,kilo_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_5_click_remainder_kilo_workspace,5,click:types,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,1,0
click__third__201,click,B_eval,kilo_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_5_click_remainder_kilo_workspace,5,click:core,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,1,0
click__third__274,click,B_eval,kilo_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_5_click_remainder_kilo_workspace,5,click:shell_completion,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,1,0
click__third__200,click,B_eval,kilo_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_5_click_remainder_kilo_workspace,5,click:testing,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,2,accepted_for_paid_package,0,1,0
click__third__208,click,H_future,kilo_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_5_click_remainder_kilo_workspace,5,click:core,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,2,2,1,accepted_for_paid_package,0,1,0
click__third__213,click,H_future,kilo_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_5_click_remainder_kilo_workspace,5,click:core,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,3,accepted_for_paid_package,0,1,0
click__third__216,click,H_future,kilo_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_5_click_remainder_kilo_workspace,5,click:testing,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,1,0
click__third__250,click,H_future,kilo_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_5_click_remainder_kilo_workspace,5,click:core,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,1,0
click__third__206,click,H_future,kilo_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_5_click_remainder_kilo_workspace,5,click:types,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,1,0
click__third__199,click,H_future,kilo_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_5_click_remainder_kilo_workspace,5,click:core,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,2,1,accepted_for_paid_package,0,1,0
click__third__166,click,H_future,kilo_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_5_click_remainder_kilo_workspace,5,click:shell_completion,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,1,0
click__third__050,click,H_future,kilo_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_5_click_remainder_kilo_workspace,5,click:types,middle_2019_2022,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,1,0
click__third__205,click,H_future,kilo_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_5_click_remainder_kilo_workspace,5,click:core,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,1,0
click__third__238,click,H_future,kilo_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_5_click_remainder_kilo_workspace,5,click:shell_completion,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,1,0
